,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,yeo_networks7,yeo_networks17,component,cut_coords
242,Supracalcarine Cortex,L S_parieto_occipital,Background,Body of corpus callosum,GM Visual cortex V2 BA18 L,MEDIAL_VISUAL_NETWORK_anterodorsal,VisCent,DefaultC,242,"[-19.061428372425866, -64.04456344517216, 15.229310399678909]"
243,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),R G_front_sup,Background,Background,GM Primary motor cortex BA4a L,SOMATOMOTOR_NETWORK_anteromedial,SomMotA,SomMotA,243,"[0.9727406410053021, -17.1054515895798, 52.2867232878001]"
244,Temporal Occipital Fusiform Cortex,L G_oc-temp_lat-fusifor,Left VI,Background,Background,COLLATERAL_SULCUS,VisCent,VisCent,244,"[-33.8261867302899, -49.959925983659446, -18.48628161991799]"
245,"Middle Temporal Gyrus, posterior division",R S_temporal_inf,Background,Background,Background,right_MIDDLE_TEMPORAL_GYRUS_anterior,DefaultB,DefaultB,245,"[56.261306378, -14.97818701617527, -22.731611122863654]"
246,Occipital Fusiform Gyrus,L G_oc-temp_lat-fusifor,Left VI,Background,GM Visual cortex V4 L,VENTRAL_VISUAL_NETWORK_lateral,VisCent,VisCent,246,"[-35.42068741313568, -65.93181295792886, -18.011041129777418]"
247,Lingual Gyrus,L G_oc-temp_med-Lingual,Vermis VI,Background,Background,VENTRAL_VISUAL_NETWORK_medial,VisCent,VisCent,247,"[0.295198763188921, -76.4764681292674, -12.395294658910629]"
248,Angular Gyrus,L S_temporal_sup,Background,Superior longitudinal fasciculus R,GM Inferior parietal lobule PGp L,left_ANGULAR_GYRUS,DorsAttnB,TempPar,248,"[-45.79316259646359, -56.50872452875727, 14.42039940140053]"
249,Background,L S_circular_insula_inf,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) R,GM Lateral geniculate body L,HIPPOCAMPUS,Background,Background,249,"[-30.240804033260048, -19.95715788770258, -12.873404664244319]"
250,Background,Background,Background,Splenium of corpus callosum,WM Fornix,CAUDATE,Background,Background,250,"[-0.8689555370404634, 0.2978656841246732, 14.771954624850679]"
251,Background,Background,Left Crus I,Background,Background,left_CEREBELLUM_CRUSII_anterior,Background,Background,251,"[-40.37219859865806, -68.95273004579465, -31.60211588862809]"
252,"Supramarginal Gyrus, posterior division",L G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PF L,left_INFERIOR_PARIETAL_LOBULE,SalVentAttnA,SalVentAttnB,252,"[-63.13299319805694, -41.796737905673396, 35.86537188916745]"
253,Frontal Pole,R G_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_anterior,SalVentAttnA,SalVentAttnB,253,"[27.016367390243175, 51.78555434365171, 26.714220349156292]"
254,Precuneous Cortex,L S_subparietal,Background,Posterior corona radiata R,GM Superior parietal lobule 5Ci L,POSTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,254,"[-14.565859614623164, -49.350016739767696, 40.56226985668846]"
255,Background,Background,Background,Splenium of corpus callosum,WM Fornix,THALAMUS_dorsal,Background,Background,255,"[0.47968074286328033, -16.314894681975147, 18.802721372451742]"
256,Heschl's Gyrus (includes H1 and H2),R S_temporal_transverse,Background,Background,GM Primary auditory cortex TE1.0 R,SUPERIOR_TEMPORAL_GYRUS_middle,SomMotA,SomMotB,256,"[56.31419067033997, -14.914264619835436, 1.8599367221713692]"
257,Background,Background,Left I-IV,Superior cerebellar peduncle R,Background,CEREBELLUM_VERMIS,Background,Background,257,"[-0.07948254773164365, -37.88991798091281, -18.384830330719083]"
258,"Middle Temporal Gyrus, temporooccipital part",R S_temporal_sup,Background,Background,GM Inferior parietal lobule Pga R,right_ANGULAR_GYRUS,SalVentAttnA,TempPar,258,"[53.359147926768344, -49.69916134471946, 11.431423497165454]"
259,"Supramarginal Gyrus, posterior division",L G_parietal_sup,Background,Background,GM Inferior parietal lobule PFm L,left_INTRAPARIETAL_SULCUS,ContA,ContB,259,"[-45.21925211363886, -54.743412547130916, 59.615702609805055]"
260,Background,Background,Vermis X,Superior cerebellar peduncle R,Background,CEREBELLUM_IX_middle,Background,Background,260,"[0.3229148296130546, -48.70515441822654, -32.75317681171207]"
261,Background,Background,Background,Superior cerebellar peduncle L,Background,THALAMUS_ventral,Background,Background,261,"[0.042616959541362576, -27.600731422503102, -3.298724896624904]"
262,"Cingulate Gyrus, anterior division",R G_and_S_cingul-Mid-Ant,Background,External capsule L,GM Premotor cortex BA6 R,CINGULATE_SULCUS_posterior,SalVentAttnA,SalVentAttnA,262,"[10.141737860478202, 8.551624606715876, 42.683287414857375]"
263,"Cingulate Gyrus, anterior division",L S_pericallosal,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,ANTERIOR_CINGULATE_CORTEX_dorsal,SalVentAttnA,SalVentAttnB,263,"[-0.1326845955814946, 18.981027417861668, 22.214092654103453]"
264,Precentral Gyrus,R S_precentral-sup-part,Background,Background,GM Premotor cortex BA6 R,SOMATOMOTOR_NETWORK_lateral,DorsAttnB,DorsAttnB,264,"[38.0419177204889, -4.039668655891774, 50.81194405976632]"
265,"Cingulate Gyrus, posterior division",R G_cingul-Post-ventral,Background,Body of corpus callosum,WM Cingulum R,PARIETO_OCCIPITAL_SULCUS_ventral,VisCent,DefaultC,265,"[18.670569708860455, -48.4257911569174, 7.8093442471259635]"
266,Cuneal Cortex,L G_occipital_sup,Background,Background,GM Superior parietal lobule 7P L,MEDIODORSAL_VISUAL_NETWORK_anterior,VisCent,VisPeri,266,"[-11.820722609684182, -83.74484785222936, 37.44380079835146]"
267,Postcentral Gyrus,L G_postcentral,Background,Background,GM Primary somatosensory cortex BA3b L,left_SOMATOMOTOR_NETWORK_dorsolateral,SomMotA,SomMotA,267,"[-45.57665759505057, -18.79763736568566, 49.82430076540558]"
268,"Lateral Occipital Cortex, superior division",L G_occipital_middle,Background,Background,GM Inferior parietal lobule PGp L,DORSAL_VISUAL_STREAM_ventrolateral,DorsAttnB,DefaultC,268,"[-49.24527323018729, -80.02235333957572, 25.347621683076724]"
269,Superior Parietal Lobule,R S_postcentral,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,GM Primary somatosensory cortex BA2 R,left_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,269,"[33.140554005897854, -35.37242213718359, 43.55779376129394]"
270,"Lateral Occipital Cortex, inferior division",R S_collat_transv_post,Background,Background,GM Visual cortex V4 R,LATERAL_VISUAL_NETWORK_ventroposterior,VisCent,VisCent,270,"[36.88663534556309, -79.77255559612306, -9.112942111638063]"
271,Frontal Pole,R G_and_S_transv_frontopol,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterororstral,DefaultB,DefaultA,271,"[14.87118757726472, 61.23984763647286, 0.9816877090843974]"
272,Frontal Orbital Cortex,L S_circular_insula_ant,Background,Background,Background,left_VENTROLATERAL_PREFRONTAL_CORTEX,DefaultB,DefaultB,272,"[-35.656781759079855, 25.16359523396997, -8.407857636111544]"
273,"Lateral Occipital Cortex, inferior division",L S_occipital_ant,Background,Background,GM Visual cortex V5 L,FUSIFORM_GYRUS_dorsolateral,DorsAttnB,DorsAttnA,273,"[-43.34380829008597, -66.59734903887025, 12.500084133605185]"
274,Postcentral Gyrus,L S_cingul-Marginalis,Background,Background,GM Primary somatosensory cortex BA3b L,SOMATOMOTOR_NETWORK_mediolateral,SomMotA,SomMotA,274,"[-16.642904804851938, -37.49675387226023, 58.04384909194249]"
275,Superior Parietal Lobule,L S_intrapariet_and_P_trans,Background,Background,GM Anterior intra-parietal sulcus hIP3 L,DORSAL_VISUAL_STREAM_superior,DorsAttnB,DorsAttnA,275,"[-18.0514004523465, -57.45935794134374, 46.62170565749729]"
276,Superior Frontal Gyrus,L S_front_sup,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,DefaultB,DefaultA,276,"[-21.08908425345311, 30.901690275459714, 48.85737366600203]"
277,Precentral Gyrus,L G_precentral,Background,Background,GM Primary somatosensory cortex BA1 L,left_SOMATOMOTOR_NETWORK_dorsolateral,SomMotA,SomMotA,277,"[-54.10027993962878, -10.253511557561495, 54.12372585517156]"
278,Parietal Operculum Cortex,L G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PFop L,SUPRAMARGINAL_GYRUS,SalVentAttnA,SalVentAttnA,278,"[-55.96405488694873, -28.61754583839864, 23.335199954763198]"
279,Background,Background,Background,Cerebral peduncle R,GM Mamillary body,Background,Background,Background,279,"[-0.3412259244392999, -15.262648593649274, -15.071693601984258]"
280,Background,Background,Background,Posterior limb of internal capsule R,WM Corticospinal tract L,THALAMUS_ventral,Background,Background,280,"[-11.906463370286218, -21.40049935813238, 2.043223887544997]"
281,Frontal Pole,R G_and_S_transv_frontopol,Background,Background,Background,left_FRONTAL_POLE_lateral,ContA,ContB,281,"[31.558882179035862, 66.2918235044574, 9.855206617530087]"
282,Background,Background,Vermis VI,Background,Background,CEREBELLUM_VI_anterior,Background,Background,282,"[-1.3774563455546627, -63.30013942875502, -21.591601909356157]"
283,Occipital Pole,R G_occipital_middle,Background,Background,GM Visual cortex V2 BA18 R,LATERAL_VISUAL_NETWORK_dorsoposterior,VisCent,VisCent,283,"[30.47747423677525, -92.56803208579603, 21.107496531366365]"
284,"Superior Temporal Gyrus, posterior division",R G_temp_sup-Lateral,Background,Background,GM Inferior parietal lobule PF R,SUPERIOR_TEMPORAL_GYRUS_posterior,SomMotA,SomMotB,284,"[67.67845247003416, -28.83020643799027, 9.26731162661217]"
285,Middle Frontal Gyrus,R S_front_sup,Background,Background,Background,right_SUPERIOR_FRONTAL_SULCUS,DefaultB,DefaultA,285,"[26.869118345632472, 24.56036792200149, 40.369616116914074]"
286,"Parahippocampal Gyrus, anterior division",L S_collat_transv_ant,Background,Cingulum (hippocampus) R,GM Hippocampus cornu ammonis L,AMYGDALA,LimbicA,DefaultC,286,"[-29.642124671223286, -15.128428199235714, -24.264901215251157]"
287,Occipital Pole,L G_occipital_sup,Background,Background,GM Visual cortex V2 BA18 L,MEDIODORSAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,287,"[-16.6275972580939, -87.97713600790337, 28.271489335648212]"
288,Paracingulate Gyrus,R S_suborbital,Background,Background,Background,VENTRAL_MEDIAL_PREFRONTAL_CORTEX_posterior,DefaultB,DefaultA,288,"[8.012476761629259, 53.03130337544712, -2.394862389249866]"
289,Background,Background,Left VI,Unclassified,Background,CEREBELLUM_VI_anterior,Background,Background,289,"[18.79453038083554, -55.77020865309353, -33.41369974640918]"
290,Background,Background,Left VIIb,Background,Background,CEREBELLUM_VIIb_medial,Background,Background,290,"[-23.559333895581318, -69.13559868424193, -52.80326369883312]"
291,Background,Background,Background,Anterior limb of internal capsule L,WM Corticospinal tract R,THALAMUS_dorsal,Background,Background,291,"[20.18874994324503, -21.854170407906167, 5.509928841090527]"
292,Frontal Pole,L G_orbital,Background,Background,Background,right_FRONTAL_POLE_lateral,ContA,ContB,292,"[-42.52719520215334, 58.30922441605648, -2.700613556895064]"
293,Angular Gyrus,R G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga R,right_INFERIOR_PARIETAL_LOBULE,DefaultB,DefaultA,293,"[49.36965617884837, -61.15287508536885, 37.99783556466963]"
294,Central Opercular Cortex,R G_front_inf-Opercular,Background,Background,GM Primary auditory cortex TE1.2 R,ANTERIOR_INSULA_posterodorsal,SalVentAttnA,SalVentAttnA,294,"[54.00067366822415, 2.766870149648497, 2.8163423001071095]"
295,Cuneal Cortex,R G_precuneus,Background,Background,GM Superior parietal lobule 7M R,PARIETO_OCCIPITAL_SULCUS_dorsal,ContA,ContC,295,"[8.79321978252186, -74.78142699735992, 37.94065418033982]"
296,Occipital Pole,L S_oc_sup_and_transversal,Background,Background,GM Visual cortex V2 BA18 L,MEDIODORSAL_VISUAL_NETWORK_posterior,VisCent,VisCent,296,"[-18.53989923777661, -88.54373796068538, 18.01091283473457]"
297,Angular Gyrus,L G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga L,left_INFERIOR_PARIETAL_LOBULE,DefaultB,ContB,297,"[-43.45293522129894, -61.707276378283, 51.08025347356718]"
298,Middle Frontal Gyrus,R G_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_posterior,ContA,ContB,298,"[37.61249205140882, 14.230494059802368, 50.851733440609934]"
299,Background,Background,Left Crus II,Background,Background,left_CEREBELLUM_CRUSII_posterior,Background,Background,299,"[-17.61929755879808, -86.35126072906152, -40.27004147402443]"
300,Superior Frontal Gyrus,L G_front_sup,Background,Background,GM Premotor cortex BA6 L,PRE_SUPPLEMENTARY_MOTOR_CORTEX_anterior,SalVentAttnA,SalVentAttnB,300,"[-13.76437677621334, 9.577778657081382, 64.47699253150776]"
301,"Parahippocampal Gyrus, posterior division",L G_oc-temp_med-Parahip,Left I-IV,Inferior cerebellar peduncle L,GM Hippocampus subiculum L,CEREBELLUM_VERMIS,VisCent,DefaultC,301,"[-14.99459483684177, -38.84281283717071, -16.924162254326177]"
302,"Inferior Frontal Gyrus, pars triangularis",R S_orbital_lateral,Background,Background,GM Broca's area BA45 R,right_PARS_ORBITALIS,ContA,SalVentAttnB,302,"[46.253586710985644, 38.66731766167854, 0.36739575485435694]"
303,"Supramarginal Gyrus, anterior division",L G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PF L,SUPRAMARGINAL_GYRUS,DorsAttnB,DorsAttnB,303,"[-56.477080660566266, -35.07295468240311, 42.470860560565356]"
304,Central Opercular Cortex,L S_circular_insula_sup,Background,Superior longitudinal fasciculus R,GM Secondary somatosensory cortex / Parietal operculum OP3 L,POSTERIOR_INSULA_dorsal,SalVentAttnA,SalVentAttnA,304,"[-39.96275033826595, 1.3661555172878082, 16.069518230302037]"
305,Intracalcarine Cortex,L S_calcarine,Background,Background,GM Visual cortex V1 BA17 L,MEDIAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,305,"[-9.313980418370164, -80.80367948986775, 12.848961085591043]"
306,"Lateral Occipital Cortex, inferior division",L G_and_S_occipital_inf,Background,Background,GM Visual cortex V4 L,LATERAL_VISUAL_NETWORK_ventroposterior,VisCent,VisCent,306,"[-48.75160430752853, -82.31271023971226, -4.604048966163802]"
307,Heschl's Gyrus (includes H1 and H2),R G_temp_sup-G_T_transv,Background,Background,GM Primary auditory cortex TE1.0 R,POSTERIOR_INSULA_ventral,SomMotA,SomMotB,307,"[46.13070554830722, -9.493497769452972, 0.2774334969062693]"
308,Precentral Gyrus,L S_precentral-inf-part,Background,Superior longitudinal fasciculus R,GM Primary somatosensory cortex BA3a L,SOMATOMOTOR_NETWORK_ventrolateral,SomMotA,SomMotB,308,"[-52.62767379216811, -1.997671620362496, 19.89315878876937]"
309,Insular Cortex,L S_circular_insula_sup,Background,Anterior limb of internal capsule R,WM Superior occipito-frontal fascicle L,CAUDATE_dorsal,Background,Background,309,"[-20.013366475733804, 16.068714640416573, 9.190217776424177]"
310,"Superior Temporal Gyrus, anterior division",R G_temp_sup-Lateral,Background,Background,GM Primary auditory cortex TE1.2 R,SUPERIOR_TEMPORAL_GYRUS_middle,SomMotA,TempPar,310,"[56.42667595718342, 9.625074700926973, -7.921829712007508]"
311,Background,L S_intrapariet_and_P_trans,Background,Posterior corona radiata R,WM Optic radiation L,left_DORSAL_VISUAL_STREAM_ventral,Background,Background,311,"[-29.533192025494017, -59.503633972020765, 25.606497118827093]"
312,Background,Background,Background,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) R,WM Superior occipito-frontal fascicle L,CAUDATE_dorsal,Background,Background,312,"[-21.56113913381475, 15.821849259993343, 22.45545617832404]"
313,"Supramarginal Gyrus, posterior division",L S_temporal_sup,Background,Background,GM Inferior parietal lobule PFm L,SUPERIOR_TEMPORAL_GYRUS_posterior,SomMotA,TempPar,313,"[-52.755047237243886, -45.19309014798135, 10.62651293343987]"
314,"Supramarginal Gyrus, anterior division",L S_postcentral,Background,Background,GM Inferior parietal lobule PFt L,right_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,314,"[-46.61622932716071, -30.2771319280033, 40.54906082158986]"
315,Parietal Operculum Cortex,R Lat_Fis-post,Background,Background,GM Primary auditory cortex TE1.1 R,HESCHLS GYRUS,SomMotA,SomMotB,315,"[37.16826503137719, -28.618307036152984, 17.604214087693634]"
316,Background,L G_subcallosal,Background,Background,WM Fornix,CAUDATE_NUCLEUS_HEAD_and_NUCLEUS_ACCUMBENS,Background,Background,316,"[-0.29951962830477896, -2.794541462545965, -6.618908693734269]"
317,Superior Frontal Gyrus,L G_front_sup,Background,Background,GM Premotor cortex BA6 L,PRE_SUPPLEMENTARY_MOTOR_CORTEX_anterior,SalVentAttnA,SalVentAttnB,317,"[-0.8178864967853912, 14.23813394605358, 61.5898761803233]"
318,Background,Background,Vermis VIIb,Background,Background,CEREBELLUM_VI_posterior,Background,Background,318,"[0.11628735580934801, -68.1090227678674, -33.13722964712531]"
319,Angular Gyrus,R S_temporal_sup,Background,Posterior corona radiata L,WM Optic radiation R,right_ANGULAR_GYRUS,Background,Background,319,"[38.411408094951184, -48.04787662502426, 13.970504992056078]"
320,Background,Background,Vermis X,Medial lemniscus R,Background,CEREBELLUM_IX_middle,Background,Background,320,"[-0.6259398753110048, -42.24464108994624, -40.047379761755515]"
321,Central Opercular Cortex,R S_circular_insula_sup,Background,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) L,GM Secondary somatosensory cortex / Parietal operculum OP3 R,ANTERIOR_INSULA_posterodorsal,SalVentAttnA,SalVentAttnA,321,"[38.660465221661866, 5.040443562688125, 10.814383777732445]"
322,Occipital Pole,R Pole_occipital,Background,Background,GM Visual cortex V1 BA17 R,POSTERIOR_VISUAL_NETWORK_ventromedial,VisCent,VisCent,322,"[15.015109165018558, -91.98552673596848, 2.6061696237374576]"
323,Background,Background,Background,Anterior corona radiata R,WM Superior occipito-frontal fascicle L,CAUDATE_dorsal,Background,Background,323,"[-16.57016218932982, 30.107737239081473, 6.016452609994772]"
324,Superior Frontal Gyrus,R G_front_sup,Background,Background,GM Premotor cortex BA6 R,PRE_SUPPLEMENTARY_MOTOR_CORTEX_anterior,SalVentAttnA,SalVentAttnA,324,"[15.712801661718913, 5.493857259512907, 72.19958648321654]"
325,Precentral Gyrus,L G_and_S_paracentral,Background,Background,GM Premotor cortex BA6 R,SUPERIOR_PARIETAL_LOBULE,SomMotA,SomMotA,325,"[-15.633143366090636, -18.802055585759632, 76.39843606792812]"
326,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),L G_front_sup,Background,Background,GM Premotor cortex BA6 L,SOMATOMOTOR_NETWORK_anteromedial,SomMotA,SomMotA,326,"[-8.545280655006337, -10.250541374210655, 55.46571492130576]"
327,"Supramarginal Gyrus, anterior division",R G_postcentral,Background,Background,GM Inferior parietal lobule PFt R,left_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,327,"[58.54500461415671, -17.929986311529404, 36.73894428368585]"
328,"Lateral Occipital Cortex, superior division",L G_parietal_sup,Background,Background,GM Superior parietal lobule 7A L,PRECUNEUS_dorsal,DorsAttnB,DorsAttnB,328,"[-13.64123889428609, -60.45869434530658, 71.3312898827902]"
329,Occipital Pole,L Pole_occipital,Background,Background,GM Visual cortex V1 BA17 L,NOISE,VisCent,VisCent,329,"[-13.047830726257914, -100.82857165460192, -8.116610648468836]"
330,Superior Parietal Lobule,R G_parietal_sup,Background,Background,GM Superior parietal lobule 7PC R,SUPERIOR_PARIETAL_LOBULE,DorsAttnB,DorsAttnA,330,"[25.524360620760845, -53.014554964889356, 63.39857888459298]"
331,Angular Gyrus,R G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule PGp R,right_ANGULAR_GYRUS,DefaultB,DefaultC,331,"[56.17313964084212, -61.67096004589155, 24.196368238068032]"
332,"Parahippocampal Gyrus, anterior division",R G_oc-temp_med-Parahip,Background,Cingulum (cingulate gyrus) L,GM Hippocampus subiculum R,AMYGDALA,LimbicA,LimbicA,332,"[26.917456025121083, -12.26776701545846, -25.350212610013386]"
333,Frontal Operculum Cortex,L Lat_Fis-ant-Vertical,Background,Background,GM Broca's area BA45 L,left_VENTROLATERAL_PREFRONTAL_CORTEX,DefaultB,DefaultB,333,"[-45.20837502944518, 22.98191928899155, 3.622640818781221]"
334,Frontal Orbital Cortex,L G_orbital,Background,Background,Background,PERI_INSULAR_SULCUS,LimbicA,LimbicB,334,"[-33.942846576065826, 25.387398127416958, -20.309643164320065]"
335,Superior Parietal Lobule,R G_parietal_sup,Background,Background,GM Superior parietal lobule 5L R,PRECUNEUS_dorsal,DorsAttnB,DorsAttnB,335,"[10.94898574571205, -57.35390993303311, 68.9345791607191]"
336,Middle Frontal Gyrus,R S_front_sup,Background,Background,GM Premotor cortex BA6 R,FRONTAL_EYE_FIELD,DorsAttnB,DorsAttnB,336,"[25.97805123810201, 1.0151146514948266, 47.71381757169911]"
337,"Lateral Occipital Cortex, superior division",L S_oc_sup_and_transversal,Background,Background,GM Inferior parietal lobule PGp L,LATERAL_VISUAL_NETWORK_dorsoposterior,VisCent,VisCent,337,"[-28.6556950114272, -83.44037896796728, 24.431861094188235]"
338,Background,R S_front_sup,Background,Anterior corona radiata L,Background,right_SUPERIOR_FRONTAL_SULCUS,Background,Background,338,"[24.162818272251826, 12.498640151783604, 39.26781562971385]"
339,Parietal Operculum Cortex,L Lat_Fis-post,Background,Superior longitudinal fasciculus R,GM Inferior parietal lobule PFcm L,SUPERIOR_TEMPORAL_GYRUS_posterior,SomMotA,SomMotB,339,"[-42.92923659637197, -37.467973711930824, 17.474978826222355]"
340,Background,R S_temporal_sup,Background,Posterior corona radiata L,WM Optic radiation R,LATERAL_VISUAL_NETWORK_dorsoposterior,Background,Background,340,"[32.07802022679263, -66.08110608319681, 12.652130138224692]"
341,Occipital Pole,R Pole_occipital,Left X,Background,GM Visual cortex V1 BA17 R,NOISE,VisCent,VisCent,341,"[12.155911914776809, -93.23435813759258, -11.78168709412411]"
342,Occipital Fusiform Gyrus,R G_oc-temp_med-Lingual,Right VI,Background,GM Visual cortex V3V R,VENTRAL_VISUAL_NETWORK_medial,VisCent,VisCent,342,"[15.807112645780933, -74.55484904844627, -12.811883052273757]"
343,"Middle Temporal Gyrus, temporooccipital part",R S_temporal_inf,Background,Background,Background,right_MIDDLE_TEMPORAL_GYRUS_posterior,DorsAttnB,ContA,343,"[60.05107936856979, -46.859347994196014, -8.739616587035641]"
344,Intracalcarine Cortex,R S_calcarine,Background,Posterior corona radiata L,GM Visual cortex V1 BA17 R,MEDIAL_VISUAL_NETWORK_anterodorsal,VisCent,VisPeri,344,"[26.81989583895553, -68.10433139386035, 5.460826466311886]"
345,Frontal Pole,L G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterororstral,DefaultB,DefaultB,345,"[-12.419710329051284, 63.58404238404299, 18.244515608921105]"
346,Background,Background,Right Crus I,Background,Background,right_CEREBELLUM_CRUSII_posterior,Background,Background,346,"[38.277463613559405, -61.808073314453, -32.01868209385679]"
347,Precentral Gyrus,L S_precentral-inf-part,Background,Superior longitudinal fasciculus R,GM Broca's area BA44 L,left_INFERIOR_FRONTAL_SULCUS,ContA,ContA,347,"[-38.66764830543605, 5.0514053538106225, 31.76414166626266]"
348,Precentral Gyrus,L S_cingul-Marginalis,Background,Background,GM Superior parietal lobule 5Ci L,INFERIOR_MARGINAL_SULCUS,SalVentAttnA,SalVentAttnA,348,"[-11.284094088681243, -31.120276279163505, 48.257804868881266]"
349,Occipital Pole,L G_occipital_middle,Background,Background,GM Visual cortex V2 BA18 L,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,349,"[-32.62691418205319, -96.11197041686209, 9.34352667123646]"
350,"Lateral Occipital Cortex, superior division",L S_oc_sup_and_transversal,Background,Background,GM Inferior parietal lobule PGp L,left_DORSAL_VISUAL_STREAM_ventral,DorsAttnB,DorsAttnA,350,"[-30.788528869466617, -72.88934306009747, 28.937650418843532]"
351,Temporal Occipital Fusiform Cortex,L G_oc-temp_lat-fusifor,Left VI,Background,Background,CEREBELLUM_VI_dorsal,Background,VisCent,351,"[-28.380968913015522, -56.13099528014416, -22.544179826142674]"
352,Superior Parietal Lobule,L S_intrapariet_and_P_trans,Background,Background,GM Anterior intra-parietal sulcus hIP1 L,left_INTRAPARIETAL_SULCUS,ContA,ContA,352,"[-35.52137823571232, -56.867481941623424, 47.99030333480428]"
353,Precentral Gyrus,L S_precentral-sup-part,Background,Background,GM Premotor cortex BA6 L,left_MIDDLE_FRONTAL_GYRUS_posterocaudal,DorsAttnB,DorsAttnB,353,"[-38.98973889597352, -3.883960926714906, 55.18551516380717]"
354,Frontal Pole,R G_and_S_frontomargin,Background,Background,Background,left_FRONTAL_POLE_lateral,ContA,ContB,354,"[26.122502370236504, 49.60317454411174, -3.9481420036224932]"
355,Frontal Pole,R S_orbital-H_Shaped,Background,Background,Background,left_FRONTAL_POLE_lateral,ContA,ContB,355,"[27.302829836510597, 39.8332524241593, -10.689659869381046]"
356,"Middle Temporal Gyrus, temporooccipital part",L G_temporal_inf,Background,Background,Background,OCCIPITOTEMPORAL_GYRUS_lateral,ContA,ContA,356,"[-61.53087617472916, -57.82550514521665, -7.547835380739485]"
357,Background,Background,Right VIIIa,Unclassified,Background,CEREBELLUM_IX_dorsal,Background,Background,357,"[16.08950654344021, -62.9127362640148, -39.44169085816811]"
358,Background,L S_precentral-inf-part,Background,Superior corona radiata R,WM Corticospinal tract L,Background,Background,Background,358,"[-27.308491132014495, -6.250922347303828, 32.06229087140538]"
359,"Lateral Occipital Cortex, inferior division",R S_oc_middle_and_Lunatus,Background,Background,WM Optic radiation R,LATERAL_VISUAL_NETWORK_dorsoposterior,VisCent,VisCent,359,"[35.775468556586844, -83.8901040042103, 11.467526080095524]"
360,Frontal Pole,L G_and_S_frontomargin,Background,Background,Background,FRONTAL_POLE,DefaultB,ContB,360,"[-28.65433896762933, 60.28868625638813, -8.502787348803551]"
361,Lingual Gyrus,L S_oc-temp_med_and_Lingual,Background,Background,GM Visual cortex V4 L,VENTRAL_VISUAL_NETWORK_medial,VisCent,VisPeri,361,"[-19.661238684352895, -67.14953664985323, -4.78803346872634]"
362,"Inferior Frontal Gyrus, pars triangularis",L G_front_inf-Triangul,Background,Background,GM Broca's area BA45 L,left_INFERIOR_FRONTAL_SULCUS,ContA,ContA,362,"[-45.5756468704828, 31.422748770248404, 11.842776595443922]"
363,Background,L S_temporal_sup,Background,Posterior thalamic radiation (include optic radiation) R,WM Optic radiation L,left_DORSAL_VISUAL_STREAM_ventral,Background,Background,363,"[-31.064769635434345, -61.74933643805066, 15.965223233087016]"
364,Occipital Pole,L Pole_occipital,Background,Background,GM Visual cortex V3V L,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,364,"[-30.573847102742945, -97.50507785127945, -2.442344480164948]"
365,Frontal Pole,R G_front_middle,Background,Background,Background,left_FRONTAL_POLE_lateral,ContA,ContB,365,"[37.250270055402524, 54.371389415492644, 3.123962650573432]"
366,Paracingulate Gyrus,R G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterocaudal,DefaultB,DefaultA,366,"[5.10876939990267, 52.109778807991404, 17.07408941268025]"
367,"Lateral Occipital Cortex, superior division",L G_occipital_sup,Background,Background,GM Inferior parietal lobule PGp L,MEDIODORSAL_VISUAL_NETWORK_anterior,VisCent,DorsAttnA,367,"[-21.461061698135524, -78.58871023933102, 33.6186302883371]"
368,Frontal Pole,L G_and_S_transv_frontopol,Background,Background,Background,FRONTAL_POLE,DefaultB,LimbicB,368,"[-22.6219035184656, 66.12879773891356, -0.4040849497739458]"
