,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,yeo_networks7,yeo_networks17,component,cut_coords
124,Background,Background,Vermis IX,Medial lemniscus L,Background,CEREBELLUM_IX_middle,Background,Background,124,"[-0.21419096974251772, -51.94395566715545, -41.26747987588447]"
125,"Cingulate Gyrus, anterior division",R S_front_inf,Background,Pontine crossing tract (a part of MCP),WM Cingulum R,right_INFERIOR_FRONTAL_SULCUS,Background,SalVentAttnB,125,"[12.21497309710702, 30.79906204957689, 17.162454068507458]"
126,"Inferior Temporal Gyrus, temporooccipital part",R S_temporal_inf,Background,Background,Background,right_MIDDLE_TEMPORAL_GYRUS_posterior,DorsAttnB,ContA,126,"[60.63564341192608, -46.62781443562872, -11.142117040103244]"
127,Lingual Gyrus,L G_oc-temp_med-Lingual,Left V,Background,GM Visual cortex V4 L,CEREBELLUM_VI_dorsal,Background,VisPeri,127,"[-12.760260008746826, -61.80311973031583, -14.456873135001388]"
128,Background,L S_oc_sup_and_transversal,Background,Posterior thalamic radiation (include optic radiation) R,WM Optic radiation L,left_DORSAL_VISUAL_STREAM_ventral,Background,Background,128,"[-30.576280174845593, -61.876375110085974, 19.681293491088425]"
129,Subcallosal Cortex,L S_pericallosal,Background,Pontine crossing tract (a part of MCP),WM Callosal body,CAUDATE_ventral,Background,Background,129,"[-0.7013314514066877, 23.16390472813532, 1.0470415602550105]"
130,Precuneous Cortex,L G_precuneus,Background,Background,GM Superior parietal lobule 7A L,PRECUNEUS_dorsal,DorsAttnB,ContC,130,"[-7.5355553421095465, -59.90310922935926, 52.3332146654636]"
131,Postcentral Gyrus,L G_postcentral,Background,Background,GM Primary somatosensory cortex BA1 R,SOMATOMOTOR_NETWORK_ventrolateral,SomMotA,SomMotB,131,"[-62.58032456747969, -8.312539419420233, 36.92825902673545]"
132,"Inferior Frontal Gyrus, pars opercularis",L S_front_inf,Background,Superior longitudinal fasciculus R,GM Broca's area BA44 L,left_INFERIOR_FRONTAL_SULCUS,ContA,ContA,132,"[-40.18084756549624, 13.495786108543513, 23.024021535656573]"
133,"Lateral Occipital Cortex, inferior division",L G_occipital_middle,Background,Background,GM Visual cortex V5 L,LATERAL_VISUAL_NETWORK_posterior,VisCent,VisCent,133,"[-44.065486571759955, -85.36321631604952, 9.426484337592953]"
134,Angular Gyrus,R G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga R,right_INFERIOR_PARIETAL_LOBULE,DefaultB,DefaultA,134,"[54.89181337440894, -57.46949322995707, 34.13774535345512]"
135,"Temporal Fusiform Cortex, anterior division",R Pole_temporal,Background,Background,GM Hippocampus entorhinal cortex R,TEMPORAL_POLE,LimbicA,LimbicA,135,"[39.1571887573495, 1.5038827594210602, -40.70371747652418]"
136,Background,Background,Left Crus II,Background,Background,left_CEREBELLUM_CRUSII_posterior,Background,Background,136,"[-31.434318688647693, -80.84888263702051, -36.60053080985905]"
137,"Middle Temporal Gyrus, temporooccipital part",L S_temporal_sup,Background,Superior longitudinal fasciculus R,WM Optic radiation L,FUSIFORM_GYRUS_dorsolateral,DorsAttnB,DorsAttnA,137,"[-46.48201989706464, -59.36931017164696, 8.356117188583625]"
138,Precentral Gyrus,L G_and_S_paracentral,Background,Background,GM Primary motor cortex BA4a R,SUPERIOR_PARIETAL_LOBULE,SomMotA,SomMotA,138,"[10.107450162745366, -24.305106836268692, 76.33991483969541]"
139,"Lateral Occipital Cortex, inferior division",L S_oc_middle_and_Lunatus,Background,Background,GM Visual cortex V3V L,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,139,"[-30.282299913188126, -90.11200851912685, 2.586116625877125]"
140,Background,Background,Right Crus I,Background,Background,right_CEREBELLUM_CRUSII_posterior,Background,Background,140,"[20.68307643392845, -73.21937712700992, -27.725458009441738]"
141,"Cingulate Gyrus, posterior division",L G_cingul-Post-dorsal,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,POSTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,141,"[-3.296407331623243, -41.65640795368766, 32.423566840471935]"
142,Precuneous Cortex,L S_cingul-Marginalis,Background,Background,GM Superior parietal lobule 5M L,INFERIOR_MARGINAL_SULCUS,SalVentAttnA,SalVentAttnA,142,"[-0.5287894981714487, -42.20761386025782, 52.896237294079555]"
143,Superior Parietal Lobule,L S_intrapariet_and_P_trans,Background,Background,GM Anterior intra-parietal sulcus hIP3 L,DORSAL_VISUAL_STREAM_superior,DorsAttnB,ContA,143,"[-30.03740441594006, -56.60071805150379, 48.678076754311334]"
144,Lingual Gyrus,R G_oc-temp_med-Lingual,Right V,Background,GM Visual cortex V3V R,MEDIAL_VISUAL_NETWORK_anteroventral,VisCent,VisPeri,144,"[11.357386585547218, -64.24011557284098, -5.999529950669725]"
145,"Supramarginal Gyrus, posterior division",R G_temp_sup-Plan_tempo,Background,Background,GM Inferior parietal lobule PF R,right_ANGULAR_GYRUS,SalVentAttnA,TempPar,145,"[61.24981417910192, -41.23714871202591, 17.88538919522783]"
146,Frontal Orbital Cortex,L G_front_inf-Orbital,Background,Background,Background,LATERAL_ORBITAL_GYRUS,DefaultB,DefaultB,146,"[-41.599531279307, 42.16423697892006, -17.467178249710535]"
147,"Parahippocampal Gyrus, anterior division",L G_oc-temp_med-Parahip,Background,Corticospinal tract R,GM Mamillary body,Background,Background,Background,147,"[-0.1527948590225776, -17.619517515996634, -22.435564637493115]"
148,Middle Frontal Gyrus,R S_front_middle,Background,Retrolenticular part of internal capsule L,Background,right_MIDDLE_FRONTAL_GYRUS_anterior,SalVentAttnA,SalVentAttnB,148,"[23.604457268028554, 35.91799398953583, 30.242505332206434]"
149,Occipital Pole,L G_occipital_sup,Background,Background,GM Visual cortex V2 BA18 L,MEDIODORSAL_VISUAL_NETWORK_posterior,VisCent,VisCent,149,"[-16.811184305826686, -91.27845411713177, 23.48006859644164]"
150,Lingual Gyrus,L G_oc-temp_med-Lingual,Left VI,Background,GM Visual cortex V3V L,VENTRAL_VISUAL_NETWORK_medial,VisCent,VisCent,150,"[-13.734810627181048, -77.40161902844173, -6.634573487777871]"
151,"Cingulate Gyrus, posterior division",R G_cingul-Post-dorsal,Background,Cingulum (cingulate gyrus) R,GM Superior parietal lobule 5M L,POSTERIOR_CINGULATE_CORTEX,DefaultB,ContC,151,"[-1.7513551682341273, -37.46959806732825, 42.11557561355339]"
152,"Inferior Frontal Gyrus, pars opercularis",R S_front_inf,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,GM Broca's area BA44 R,right_INFERIOR_FRONTAL_SULCUS,ContA,ContA,152,"[40.18463617285113, 14.218573392594095, 27.987586945921308]"
153,"Lateral Occipital Cortex, superior division",L G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga L,left_INFERIOR_PARIETAL_LOBULE,DefaultB,DefaultA,153,"[-50.971097091982344, -64.93618607156509, 48.81343418200598]"
154,"Supramarginal Gyrus, posterior division",L S_intrapariet_and_P_trans,Background,Background,GM Anterior intra-parietal sulcus hIP1 L,left_INTRAPARIETAL_SULCUS,ContA,ContA,154,"[-38.98014692577376, -46.122467475890375, 39.16259568156835]"
155,"Middle Temporal Gyrus, temporooccipital part",R Lat_Fis-post,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,WM Optic radiation R,right_ANGULAR_GYRUS,Background,TempPar,155,"[42.081535646621035, -45.35353002290229, 13.41240678942242]"
156,Frontal Pole,R G_front_middle,Background,Background,Background,left_FRONTAL_POLE_lateral,ContA,ContB,156,"[41.02924525207868, 59.568884798805186, 3.89162200808984]"
157,Background,Background,Left VIIIa,Background,Background,CEREBELLUM_VIIb_lateral,Background,Background,157,"[-17.8533233093589, -56.457977839285775, -56.25136049196714]"
158,Precuneous Cortex,L S_parieto_occipital,Background,Cingulum (cingulate gyrus) R,GM Superior parietal lobule 7M L,PARIETO_OCCIPITAL_SULCUS,VisCent,ContC,158,"[-15.745310476796192, -66.92174565891516, 28.901240236926583]"
159,Frontal Operculum Cortex,R Lat_Fis-ant-Horizont,Background,Background,GM Broca's area BA45 R,right_VENTROLATERAL_PREFRONTAL_CORTEX,SalVentAttnA,SalVentAttnB,159,"[47.12721456435912, 24.687561774744836, 2.842587447073001]"
160,"Cingulate Gyrus, posterior division",R G_and_S_cingul-Mid-Post,Background,Cingulum (cingulate gyrus) R,GM Primary motor cortex BA4a L,POSTERIOR_CINGULATE_CORTEX,SalVentAttnA,SalVentAttnA,160,"[0.010357078000438946, -16.51563954541271, 41.382187930546706]"
161,Middle Frontal Gyrus,L S_front_sup,Background,Background,GM Premotor cortex BA6 L,FRONTAL_EYE_FIELD,DorsAttnB,ContA,161,"[-26.80545859713797, 4.737097995443264, 55.23077911061975]"
162,Superior Parietal Lobule,L S_cingul-Marginalis,Background,Background,GM Superior parietal lobule 5L L,SUPERIOR_PARIETAL_LOBULE,DorsAttnB,DorsAttnB,162,"[-19.821971154206437, -51.13903204073425, 57.55737314736936]"
163,Background,Background,Right I-IV,Corticospinal tract L,Background,CEREBELLUM_I-V,Background,Background,163,"[15.8607233604463, -39.975144595433036, -28.031570647069024]"
164,Background,L S_precentral-inf-part,Background,Superior corona radiata R,WM Superior occipito-frontal fascicle L,Background,Background,Background,164,"[-26.169359494081476, -3.8753842640157643, 30.71081608078117]"
165,Heschl's Gyrus (includes H1 and H2),R G_Ins_lg_and_S_cent_ins,Background,Background,GM Insula Ig2 R,POSTERIOR_INSULA_dorsal,SomMotA,SomMotB,165,"[44.1986880954106, -9.93455008514637, 8.593354923368437]"
166,Middle Frontal Gyrus,L G_front_middle,Background,Background,GM Broca's area BA44 L,left_MIDDLE_FRONTAL_GYRUS_posterocaudal,DefaultB,DefaultB,166,"[-42.650557035290866, 7.3840936816934, 47.459039867571164]"
167,Background,Background,Background,Splenium of corpus callosum,WM Fornix,THALAMUS_dorsal,Background,Background,167,"[10.743119359233845, -12.239198394644006, 19.210281569439374]"
168,Precentral Gyrus,L S_precentral-inf-part,Background,Background,GM Premotor cortex BA6 L,left_MIDDLE_FRONTAL_GYRUS_posterocaudal,DorsAttnB,DorsAttnB,168,"[-49.32158782629953, 0.5167475348850701, 40.43558037705455]"
169,"Cingulate Gyrus, posterior division",L S_pericallosal,Background,Body of corpus callosum,WM Cingulum L,POSTERIOR_CINGULATE_CORTEX,ContA,ContC,169,"[0.2514156118790254, -33.50329802340789, 25.578471560908852]"
170,Angular Gyrus,L G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga L,left_INFERIOR_PARIETAL_LOBULE,DefaultB,DefaultA,170,"[-46.87773864438626, -61.464630477041794, 45.25951736288782]"
171,"Lateral Occipital Cortex, superior division",L S_oc_sup_and_transversal,Background,Background,GM Inferior parietal lobule PGp L,left_DORSAL_VISUAL_STREAM_ventral,VisCent,DorsAttnA,171,"[-29.145648496251084, -84.08446540209437, 26.164873752776572]"
172,Angular Gyrus,R S_interm_prim-Jensen,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,GM Anterior intra-parietal sulcus hIP1 R,right_INTRAPARIETAL_SULCUS,Background,ContA,172,"[38.06377839805751, -52.817593404609084, 35.04917968972174]"
173,Frontal Pole,R G_front_sup,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,DefaultB,DefaultB,173,"[14.09397769876081, 52.66026763241439, 28.44752572109158]"
174,Intracalcarine Cortex,R G_cuneus,Background,Background,GM Visual cortex V1 BA17 R,POSTERIOR_VISUAL_NETWORK_dorsomedial,VisCent,VisCent,174,"[13.023154813254251, -90.64656268530922, 9.530053722397298]"
175,Precentral Gyrus,L G_precentral,Background,Background,GM Primary motor cortex BA4a L,SOMATOMOTOR_NETWORK_mediolateral,SomMotA,SomMotA,175,"[-19.696568924922147, -26.463613377549834, 69.80916969798344]"
176,Intracalcarine Cortex,L S_calcarine,Background,Posterior thalamic radiation (include optic radiation) R,GM Visual cortex V1 BA17 L,MEDIAL_VISUAL_NETWORK_anterodorsal,VisCent,VisPeri,176,"[-24.274334238413843, -67.85345742505835, 7.493257666509891]"
177,Planum Polare,L S_circular_insula_inf,Background,Uncinate fasciculus R,WM Inferior occipito-frontal fascicle L,SUPERIOR_TEMPORAL_GYRUS_anterior,SalVentAttnA,SalVentAttnA,177,"[-41.08318125909546, -8.536486072965644, -15.729944004494484]"
178,Occipital Pole,L Pole_occipital,Background,Background,GM Visual cortex V3V L,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,178,"[-26.0676619997339, -100.46696907057603, 1.8111197881735563]"
179,Temporal Occipital Fusiform Cortex,R S_oc-temp_med_and_Lingual,Background,Posterior thalamic radiation (include optic radiation) L,WM Optic radiation R,VENTRAL_VISUAL_NETWORK_lateral,VisCent,VisCent,179,"[30.590364280562994, -50.81062024729526, -8.426731306156185]"
180,Superior Parietal Lobule,R G_postcentral,Background,Background,GM Primary somatosensory cortex BA1 R,SUPERIOR_PARIETAL_LOBULE,SomMotA,DorsAttnB,180,"[25.967370951103632, -42.8398852104164, 75.86878740455376]"
181,Frontal Pole,L G_front_sup,Background,Background,Background,SUPERIOR_FRONTAL_GYRUS_anterodorsal,DefaultB,DefaultB,181,"[-0.7613382914941269, 54.73144597116169, 41.727407433074774]"
182,Planum Temporale,L S_temporal_transverse,Background,Background,GM Primary auditory cortex TE1.0 L,SUPERIOR_TEMPORAL_GYRUS_posterior,SomMotA,SomMotB,182,"[-50.40684458997041, -25.691901329014314, 6.246753086900981]"
183,Precentral Gyrus,R G_and_S_subcentral,Background,Background,GM Secondary somatosensory cortex / Parietal operculum OP4 R,SOMATOMOTOR_NETWORK_ventrolateral,SomMotA,SomMotB,183,"[63.590259557882206, 6.910577328973375, 21.18025820118585]"
184,Frontal Pole,L S_front_middle,Background,Background,Background,left_MIDDLE_FRONTAL_GYRUS_anterior,SalVentAttnA,SalVentAttnB,184,"[-26.12981319767168, 53.590319033813984, 24.117186014976866]"
185,"Cingulate Gyrus, anterior division",L G_and_S_cingul-Ant,Background,Pontine crossing tract (a part of MCP),WM Cingulum L,PERIGENUAL_ANTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,185,"[-0.1577306973292707, 35.28479665936317, 16.04067350769519]"
186,"Lateral Occipital Cortex, inferior division",R G_and_S_occipital_inf,Background,Background,GM Visual cortex V4 R,LATERAL_VISUAL_NETWORK_ventroposterior,VisCent,VisCent,186,"[53.28567397557305, -67.93916697161943, -11.52604927270339]"
187,Superior Frontal Gyrus,R G_front_sup,Background,Background,Background,SUPERIOR_FRONTAL_GYRUS_anterodorsal,DefaultB,DefaultA,187,"[22.775179796162618, 37.32659827085391, 54.2854573087418]"
188,Parietal Operculum Cortex,L Lat_Fis-post,Background,Superior longitudinal fasciculus R,GM Inferior parietal lobule PFcm L,SUPRAMARGINAL_GYRUS,SalVentAttnA,SalVentAttnA,188,"[-45.337194478796135, -29.653471289278386, 24.824764758323795]"
189,Middle Frontal Gyrus,L S_front_sup,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,SalVentAttnA,SalVentAttnB,189,"[-23.56835326857623, 37.40958684744055, 37.85912782858209]"
190,"Cingulate Gyrus, anterior division",R S_pericallosal,Background,External capsule L,WM Cingulum R,INFERIOR_MARGINAL_SULCUS,SalVentAttnA,SalVentAttnA,190,"[10.310393592743836, -11.442738330418962, 36.770934577469234]"
191,Frontal Pole,L G_and_S_transv_frontopol,Background,Background,Background,VENTRAL_MEDIAL_PREFRONTAL_CORTEX_anterior,DefaultB,DefaultA,191,"[0.5304203485104182, 65.60631123583428, 2.3164992976491305]"
192,"Supramarginal Gyrus, anterior division",L G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PF L,SUPRAMARGINAL_GYRUS,SalVentAttnA,SalVentAttnA,192,"[-64.90428165113653, -33.666309165422476, 32.52965631169255]"
193,"Parahippocampal Gyrus, posterior division",L G_cingul-Post-ventral,Left I-IV,Cingulum (hippocampus) R,GM Hippocampus subiculum L,CEREBELLUM_VERMIS,VisCent,VisPeri,193,"[-0.043395463118429234, -37.50203085905163, -4.414951697963559]"
194,Occipital Pole,R Pole_occipital,Background,Background,GM Visual cortex V1 BA17 R,POSTERIOR_VISUAL_NETWORK_ventromedial,VisCent,VisCent,194,"[14.211881148165503, -99.73484545254107, 0.10470608928120839]"
195,"Supramarginal Gyrus, posterior division",L G_temp_sup-Plan_tempo,Background,Background,GM Inferior parietal lobule PFcm L,left_INFERIOR_PARIETAL_LOBULE,SalVentAttnA,SalVentAttnA,195,"[-56.64052861902607, -42.46112264990043, 26.027885852100738]"
196,"Cingulate Gyrus, anterior division",L G_and_S_cingul-Ant,Background,Pontine crossing tract (a part of MCP),WM Cingulum L,PERIGENUAL_ANTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,196,"[-8.841088504957526, 38.344148407315856, 6.262822344087311]"
197,Background,Background,Left X,Unclassified,Background,CEREBELLUM_VI_anterior,Background,Background,197,"[-37.8333546141648, -47.065718835071166, -38.17489384689058]"
198,Precentral Gyrus,R S_precentral-sup-part,Background,Background,GM Premotor cortex BA6 R,right_SOMATOMOTOR_NETWORK_dorsolateral,SomMotA,SomMotA,198,"[24.228154217822322, -14.567364618953562, 65.8190990938819]"
199,Occipital Pole,R G_occipital_sup,Background,Background,GM Visual cortex V2 BA18 R,POSTERIOR_VISUAL_NETWORK_dorsomedial,VisCent,VisCent,199,"[-18.569031334373832, -99.77464483008964, 20.26260531212344]"
200,Precentral Gyrus,L S_precentral-sup-part,Background,Background,GM Premotor cortex BA6 L,left_MIDDLE_FRONTAL_GYRUS_posterocaudal,DorsAttnB,DorsAttnB,200,"[-33.555581724591384, -6.42775499825305, 50.18682070442509]"
201,Background,Background,Background,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) R,WM Superior occipito-frontal fascicle L,CAUDATE_dorsal,Background,Background,201,"[16.984924624163654, -3.924572273804671, 26.058804757892943]"
202,Middle Frontal Gyrus,R G_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_posterior,ContA,ContB,202,"[41.76563430194295, 22.41802855981112, 41.833560722171256]"
203,Background,Background,Background,Middle cerebellar peduncle,Background,Background,Background,Background,203,"[-0.481548847742701, -26.881922707341545, -31.074959891592144]"
204,Frontal Pole,R G_front_middle,Background,Background,Background,right_PARS_ORBITALIS,ContA,SalVentAttnB,204,"[41.12707797255541, 46.38339128612975, 12.827229015727767]"
205,Superior Parietal Lobule,R S_postcentral,Background,Background,GM Primary somatosensory cortex BA2 R,left_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,205,"[35.707845291822764, -34.209118002357314, 45.79974109857281]"
206,"Middle Temporal Gyrus, temporooccipital part",R S_temporal_sup,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,GM Inferior parietal lobule PF R,right_MIDDLE_TEMPORAL_GYRUS_posterior,SalVentAttnA,TempPar,206,"[53.7223502822024, -39.0779541793091, 6.0316189327135845]"
207,Background,Background,Background,Pontine crossing tract (a part of MCP),WM Callosal body,CAUDATE_ventral,Background,Background,207,"[-2.3211190412079787, 23.53687893983613, 9.600710097086818]"
208,Background,Background,Vermis X,Superior cerebellar peduncle R,Background,CEREBELLUM_IX_middle,Background,Background,208,"[-0.15443914623128308, -45.288178128154144, -29.346656206704957]"
209,Intracalcarine Cortex,R S_calcarine,Background,Posterior corona radiata L,WM Optic radiation R,MEDIAL_VISUAL_NETWORK_anterodorsal,Background,Background,209,"[25.51555336809824, -72.33246003041782, 3.262703697619571]"
210,Superior Parietal Lobule,L S_postcentral,Background,Background,GM Primary somatosensory cortex BA2 L,POSTCENTRAL_SULCUS_dorsal,SomMotA,SomMotA,210,"[-31.597104638385687, -39.758963911013836, 54.489937686066725]"
211,Precentral Gyrus,L S_precentral-sup-part,Background,Background,GM Premotor cortex BA6 L,FRONTAL_EYE_FIELD,SomMotA,DorsAttnB,211,"[-28.747313426926283, -12.909098686611173, 62.74817422945563]"
212,Precentral Gyrus,R S_precentral-sup-part,Background,Background,GM Premotor cortex BA6 R,SOMATOMOTOR_NETWORK_lateral,DorsAttnB,DorsAttnB,212,"[42.347085047644725, -1.9819689305845998, 49.32246441403579]"
213,"Supramarginal Gyrus, posterior division",R G_pariet_inf-Supramar,Background,Background,GM Anterior intra-parietal sulcus hIP2 R,right_INTRAPARIETAL_SULCUS,ContA,ContA,213,"[45.496282235158276, -45.384838292416305, 53.20805607704685]"
214,Planum Polare,R S_circular_insula_inf,Background,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) L,WM Uncinate fascicle R,SUPERIOR_TEMPORAL_GYRUS_anterior,SalVentAttnA,SalVentAttnA,214,"[38.83007337366274, -4.107084055495051, -15.759085188754156]"
215,Precuneous Cortex,R G_precuneus,Background,External capsule L,GM Superior parietal lobule 7M R,PRECUNEUS_ventral,DefaultB,ContC,215,"[8.721953333102078, -63.58714983040595, 31.77643866957459]"
216,Cuneal Cortex,R G_occipital_sup,Background,Background,GM Superior parietal lobule 7P R,PARIETO_OCCIPITAL_SULCUS_dorsal,VisCent,VisPeri,216,"[13.609908586988524, -78.61076025222772, 41.76166376996581]"
217,Background,Background,Left I-IV,Inferior cerebellar peduncle L,Background,CEREBELLUM_I-V,Background,Background,217,"[-0.2688860596358751, -48.263290254346785, -22.905912854823868]"
218,"Lateral Occipital Cortex, superior division",R G_parietal_sup,Background,Background,GM Superior parietal lobule 7A R,DORSAL_VISUAL_STREAM_superior,DorsAttnB,DorsAttnA,218,"[15.335210302593296, -61.11981696147225, 58.38471057276206]"
219,"Cingulate Gyrus, anterior division",L G_and_S_cingul-Mid-Ant,Background,External capsule L,WM Cingulum L,ANTERIOR_CINGULATE_CORTEX_dorsal,SalVentAttnA,SalVentAttnB,219,"[-0.4396238797262697, 21.430638983183968, 28.866366770381717]"
220,Middle Frontal Gyrus,L S_front_inf,Background,Background,GM Broca's area BA44 L,left_MIDDLE_FRONTAL_GYRUS_posterorostral,ContA,ContA,220,"[-42.09949761723515, 16.12895104757709, 31.954867389309243]"
221,Background,R S_temporal_sup,Background,Posterior thalamic radiation (include optic radiation) L,WM Optic radiation L,FUSIFORM_GYRUS_ventrolateral,Background,Background,221,"[40.78009955107848, -45.02854575029235, -2.875946932226938]"
222,Paracingulate Gyrus,R G_and_S_cingul-Mid-Ant,Background,Background,GM Premotor cortex BA6 R,ANTERIOR_CINGULATE_CORTEX_dorsal,SalVentAttnA,SalVentAttnB,222,"[3.6751116124120244, 17.536138473282335, 39.80494906295374]"
223,Background,L S_circular_insula_inf,Background,Superior cerebellar peduncle L,GM Medial geniculate body R,HIPPOCAMPUS,Background,Background,223,"[-19.40627709014315, -21.937781526817034, -6.76583955893345]"
224,Background,Background,Background,Anterior limb of internal capsule R,WM Fornix,CAUDATE,Background,Background,224,"[6.465077954751493, 8.226336169089308, 3.244553065152701]"
225,Parietal Operculum Cortex,R Lat_Fis-post,Background,Background,GM Inferior parietal lobule PFcm R,HESCHLS GYRUS,SomMotA,SomMotB,225,"[45.70198759916357, -30.69565383266537, 19.61712515076954]"
226,Occipital Fusiform Gyrus,R S_collat_transv_post,Background,Background,GM Visual cortex V4 R,VENTRAL_VISUAL_NETWORK_lateral,VisCent,VisCent,226,"[31.491528011531187, -79.1523657900552, -7.363726224510046]"
227,Occipital Pole,R G_occipital_sup,Background,Background,GM Superior parietal lobule 7P L,MEDIODORSAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,227,"[14.214699256306034, -89.06126928268509, 40.186784062412585]"
228,Precentral Gyrus,L G_and_S_paracentral,Background,Background,GM Primary motor cortex BA4a L,SOMATOMOTOR_NETWORK_medial,SomMotA,SomMotA,228,"[-9.913694281431361, -23.959927385919997, 63.425160321802025]"
229,"Middle Temporal Gyrus, posterior division",L S_temporal_sup,Background,Background,Background,left_MIDDLE_TEMPORAL_GYRUS_posterior,DefaultB,DefaultB,229,"[-62.61036275481591, -35.41878839211657, -4.283697275574056]"
230,"Inferior Temporal Gyrus, temporooccipital part",L S_oc-temp_lat,Background,Background,GM Visual cortex V5 L,FUSIFORM_GYRUS_ventrolateral,DorsAttnB,DorsAttnA,230,"[-45.955818215941406, -62.753836622029254, -5.636592418269316]"
231,"Lateral Occipital Cortex, inferior division",R G_and_S_occipital_inf,Background,Background,GM Visual cortex V3V R,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,231,"[37.658036687180214, -90.78906653337717, -2.265111251673247]"
232,Background,Background,Left X,Corticospinal tract R,Background,CEREBELLUM_IX_middle,Background,Background,232,"[-0.3045958464281142, -28.124428400044636, -40.8967507962712]"
233,Background,Background,Right Crus II,Background,Background,right_CEREBELLUM_CRUSII_posterior,Background,Background,233,"[21.214327255953236, -85.02510446500787, -40.00857668248036]"
234,"Superior Temporal Gyrus, posterior division",R S_temporal_sup,Background,Background,GM Insula Id1 R,SUPERIOR_TEMPORAL_GYRUS_posterior,SomMotA,TempPar,234,"[55.8865479650014, -25.250144006101124, 0.1917471000261628]"
235,Frontal Orbital Cortex,L S_circular_insula_ant,Background,External capsule R,WM Inferior occipito-frontal fascicle L,PUTAMEN_anterior,Background,Background,235,"[-20.652421382651497, 10.874565370545923, -10.802604352233828]"
236,"Middle Temporal Gyrus, temporooccipital part",R G_temporal_middle,Background,Background,GM Inferior parietal lobule Pga R,right_ANGULAR_GYRUS,SalVentAttnA,TempPar,236,"[63.462356859875, -49.515259857061466, 8.179137727413291]"
237,"Lateral Occipital Cortex, superior division",L G_occipital_middle,Background,Background,GM Inferior parietal lobule PGp L,DORSAL_VISUAL_STREAM_ventrolateral,DorsAttnB,DefaultC,237,"[-41.822615615443624, -83.21205834262393, 27.96238115957378]"
238,"Inferior Frontal Gyrus, pars triangularis",R G_front_inf-Triangul,Background,Background,GM Broca's area BA45 R,right_VENTROLATERAL_PREFRONTAL_CORTEX,ContA,DefaultB,238,"[58.02940221221971, 24.034115731671932, 13.932219594726135]"
239,Cuneal Cortex,L G_cuneus,Background,Background,GM Visual cortex V2 BA18 L,MEDIODORSAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,239,"[-0.3395857233729771, -82.29741681333212, 26.867954538633114]"
240,"Lateral Occipital Cortex, superior division",L G_parietal_sup,Background,Background,GM Superior parietal lobule 7P R,right_DORSAL_VISUAL_STREAM_ventral,DorsAttnB,ContC,240,"[15.790915629468927, -68.54284260263432, 47.09304597993267]"
241,Superior Parietal Lobule,L G_parietal_sup,Background,Background,GM Superior parietal lobule 7PC L,DORSAL_VISUAL_STREAM_superior,DorsAttnB,DorsAttnA,241,"[-34.40388835248625, -50.20394316066303, 53.85610227758659]"
242,"Lateral Occipital Cortex, inferior division",L G_temporal_middle,Background,Background,GM Inferior parietal lobule PGp L,FUSIFORM_GYRUS_dorsolateral,DorsAttnB,DorsAttnB,242,"[-57.620465318937775, -67.74414281572396, 7.5814572584051945]"
243,Precuneous Cortex,R S_cingul-Marginalis,Background,Background,GM Superior parietal lobule 5Ci R,PRECUNEUS_dorsal,SalVentAttnA,ContC,243,"[7.460306421640595, -43.99153947512012, 45.28762354575352]"
244,Middle Frontal Gyrus,R G_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_posterior,ContA,ContB,244,"[39.63633280087345, 12.471497031153149, 58.619577314994046]"
245,"Lateral Occipital Cortex, superior division",R G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule PGp R,right_DORSAL_VISUAL_STREAM_ventral,DorsAttnB,ContA,245,"[34.68368995834379, -72.2095906507952, 43.069876164369646]"
246,"Supramarginal Gyrus, anterior division",R G_postcentral,Background,Background,GM Inferior parietal lobule PFt R,left_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,246,"[60.23575739063142, -18.029403304344527, 36.34328629112554]"
